ctime,openid,helloid,song,level
2018-01-26,oVdz50_RBcZsvseFtEV1q1Rr52aw,0,没那么简单,1
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,画心,9
2018-01-26,oVdz50_RBcZsvseFtEV1q1Rr52aw,0,过火,4
2018-01-26,oVdz507LeuPyzu1woX82r9i_qM90,0,短发,1
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,王妃,4
2018-01-26,oVdz50ynzmOA82s3xtBjDSBtYdRo,0,下一站天后,2
2018-01-26,oVdz504oErv-mThn65aVoxV8igK4,0,隐形的翅膀,8
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,没那么简单,11
2018-01-26,oVdz507LeuPyzu1woX82r9i_qM90,0,结束,1
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,倒带,17
2018-01-26,oVdz507LeuPyzu1woX82r9i_qM90,0,一个人的寂寞两个人的错,4
2018-01-26,oVdz5044d94inrgt-Jm9fkSr2pnQ,0,一个人的寂寞两个人的错,5
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,你是我的眼,11
2018-01-26,oVdz5044d94inrgt-Jm9fkSr2pnQ,0,爱我的人和我爱的人,1
2018-01-26,oVdz502OfLx_MIoTMpDwcOH8VIAk,0,醉拳,1
2018-01-26,oVdz50ynzmOA82s3xtBjDSBtYdRo,0,16号爱人,1
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,一个人的寂寞两个人的错,7
2018-01-26,oVdz507LeuPyzu1woX82r9i_qM90,0,想太多,1
2018-01-26,oVdz5044d94inrgt-Jm9fkSr2pnQ,0,心痛2009,2
2018-01-26,oVdz50ynzmOA82s3xtBjDSBtYdRo,0,千千阙歌,1
2018-01-26,oVdz502OfLx_MIoTMpDwcOH8VIAk,0,一起走过的日子,4
2018-01-26,oVdz50ynzmOA82s3xtBjDSBtYdRo,0,至少还有你,1
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,离歌,7
2018-01-26,oVdz5044d94inrgt-Jm9fkSr2pnQ,0,死了都要爱,1
2018-01-26,oVdz50ynzmOA82s3xtBjDSBtYdRo,0,默,2
2018-01-26,oVdz507LeuPyzu1woX82r9i_qM90,0,小苹果,3
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,类似爱情,2
2018-01-26,oVdz50xwOylt4a4C_iswqAeAyOpY,0,倒带,12
2018-01-26,oVdz5044d94inrgt-Jm9fkSr2pnQ,0,红尘情歌,2
2018-01-26,oVdz50ynzmOA82s3xtBjDSBtYdRo,0,追光者,1
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,大海,10
2018-01-26,oVdz5016DEVpTbGRRbrqRA_PPWmU,0,有点甜,7
2018-01-26,oVdz50ynzmOA82s3xtBjDSBtYdRo,0,无赖,1
2018-01-26,oVdz5044d94inrgt-Jm9fkSr2pnQ,0,兄弟,7
2018-01-26,oVdz507LeuPyzu1woX82r9i_qM90,0,愚昧,1
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,独角戏,9
2018-01-26,oVdz50ynzmOA82s3xtBjDSBtYdRo,0,问,4
2018-01-26,oVdz5016DEVpTbGRRbrqRA_PPWmU,0,梦里花,4
2018-01-26,oVdz507LeuPyzu1woX82r9i_qM90,0,一个人背两个人的债,1
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,一个人的寂寞两个人的错,7
2018-01-26,oVdz5044d94inrgt-Jm9fkSr2pnQ,0,笨小孩,3
2018-01-26,0,17976688,海阔天空,6
2018-01-26,0,17976688,海阔天空,6
2018-01-26,oVdz5044d94inrgt-Jm9fkSr2pnQ,0,喜欢你,2
2018-01-26,oVdz507LeuPyzu1woX82r9i_qM90,0,大海,3
2018-01-26,oVdz506wxtMb7GdwAfs-wJQ0Oil0,0,绿光,11
2018-01-26,0,17976688,一千年以后-2006年央视春晚,5
2018-01-26,oVdz5044d94inrgt-Jm9fkSr2pnQ,0,秋风落叶,5
2018-01-26,0,18101479,Hey Jude,2
2018-01-26,oVdz507LeuPyzu1woX82r9i_qM90,0,大约在冬季,2
2018-01-26,oVdz503WKOh5kkO6hcASoi0qY5A0,0,西厢,1
2018-01-26,0,18101479,第一天,1
2018-01-26,oVdz5016DEVpTbGRRbrqRA_PPWmU,0,喀秋莎,2
2018-01-26,oVdz506a_ZlD0URm_5uxdkaCV8Gk,0,没那么简单,1
2018-01-26,oVdz507wcsBWrBicJz1N7SVLKhxk,0,鱼-中国好声音第四季,1
2018-01-26,oVdz503WKOh5kkO6hcASoi0qY5A0,0,我的歌声里,1
2018-01-26,oVdz506vlfLh2cbkggyDSmF-vpC8,0,放生,1
2018-01-26,0,17971748,你是我的眼,5
2018-01-26,0,17976688,江南,13
2018-01-26,oVdz507LeuPyzu1woX82r9i_qM90,0,军中绿花,2
2018-01-26,oVdz50_QQ_nMrMg4iPaAce_4P_XU,0,难念的经,8
2018-01-26,0,12423438,步步,1
2018-01-26,oVdz506vlfLh2cbkggyDSmF-vpC8,0,精忠报国,5
2018-01-26,0,18101479,小苹果,2
2018-01-26,oVdz506vlfLh2cbkggyDSmF-vpC8,0,十年,1
2018-01-26,oVdz5044d94inrgt-Jm9fkSr2pnQ,0,最幸福的人,3
2018-01-26,oVdz506a_ZlD0URm_5uxdkaCV8Gk,0,最炫民族风,1
2018-01-26,0,17971748,我的好兄弟,3
2018-01-26,oVdz507LeuPyzu1woX82r9i_qM90,0,如果没有他你还爱我吗,1
2018-01-26,oVdz5044d94inrgt-Jm9fkSr2pnQ,0,病入膏肓,4
2018-01-26,oVdz503WKOh5kkO6hcASoi0qY5A0,0,预谋,1
2018-01-26,0,17971748,想太多,2
2018-01-26,oVdz505hJO0jU1AYcFSrJN6oOKmo,0,带你去旅行,11
2018-01-26,oVdz506a_ZlD0URm_5uxdkaCV8Gk,0,再见,4
2018-01-26,0,17976688,爱死了昨天,7
2018-01-26,0,18101479,小苹果,2
2018-01-26,oVdz50_QQ_nMrMg4iPaAce_4P_XU,0,心中的日月,11
2018-01-26,oVdz506vlfLh2cbkggyDSmF-vpC8,0,水手,11
2018-01-26,oVdz506a_ZlD0URm_5uxdkaCV8Gk,0,练习,1
2018-01-26,0,12423438,笑忘歌,1
2018-01-26,oVdz507LeuPyzu1woX82r9i_qM90,0,北极星的眼泪,1
2018-01-26,oVdz506vlfLh2cbkggyDSmF-vpC8,0,我们的歌,2
2018-01-26,oVdz5044d94inrgt-Jm9fkSr2pnQ,0,心在跳情在烧,1
2018-01-26,oVdz503WKOh5kkO6hcASoi0qY5A0,0,当,9
2018-01-26,oVdz506a_ZlD0URm_5uxdkaCV8Gk,0,美丽的神话,1
2018-01-26,oVdz503WKOh5kkO6hcASoi0qY5A0,0,我的歌声里,1
2018-01-26,oVdz503WKOh5kkO6hcASoi0qY5A0,0,童话,1
2018-01-26,0,12423438,第二人生,1
2018-01-26,oVdz5049-RaKjhNzNL6HHFio7woA,0,最真的朋友,2
2018-01-26,oVdz5044d94inrgt-Jm9fkSr2pnQ,0,天涯,11
2018-01-26,oVdz503WKOh5kkO6hcASoi0qY5A0,0,十年,1
2018-01-26,oVdz503WKOh5kkO6hcASoi0qY5A0,0,过火,1
2018-01-26,oVdz5049-RaKjhNzNL6HHFio7woA,0,最真的朋友,1
2018-01-26,oVdz5044d94inrgt-Jm9fkSr2pnQ,0,高手,4
2018-01-26,oVdz509oO2rVB7UPqhhDfeW7T2TI,0,因为爱情,3
2018-01-26,oVdz50zgyoFYZDH7jTM961was6RU,0,怀念青春,2
2018-01-26,oVdz503WKOh5kkO6hcASoi0qY5A0,0,那些年,1
2018-01-26,oVdz5044d94inrgt-Jm9fkSr2pnQ,0,奔跑,6
2018-01-26,oVdz50zgyoFYZDH7jTM961was6RU,0,差三岁,10
2018-01-26,oVdz50ynnhvYY648q9QQ2X6CZfWY,0,西游记,1
2018-01-26,oVdz50ynnhvYY648q9QQ2X6CZfWY,0,西游记,1
2018-01-26,oVdz50w6mHSnFBJ30yVTt54L_8o8,0,突然的自我,5
2018-01-26,oVdz503WKOh5kkO6hcASoi0qY5A0,0,因为爱情,1
2018-01-26,oVdz509oO2rVB7UPqhhDfeW7T2TI,0,葡萄成熟时,1
2018-01-26,oVdz50ynnhvYY648q9QQ2X6CZfWY,0,小苹果,1
2018-01-26,oVdz50w6mHSnFBJ30yVTt54L_8o8,0,十年,6
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,你是我的眼,9
2018-01-26,oVdz50ynnhvYY648q9QQ2X6CZfWY,0,小燕子,1
2018-01-26,oVdz509oO2rVB7UPqhhDfeW7T2TI,0,你的名字我的姓氏,1
2018-01-26,0,12423438,倔强,1
2018-01-26,oVdz5009Yz3vhzjPG3-UlnsnzEcU,0,安静,18
2018-01-26,oVdz500g0BhD1QIMYyLSr0EBxrWk,0,空城,3
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,没那么简单,5
2018-01-26,oVdz5009Yz3vhzjPG3-UlnsnzEcU,0,广岛之恋,1
2018-01-26,oVdz500g0BhD1QIMYyLSr0EBxrWk,0,十年,1
2018-01-26,oVdz509oO2rVB7UPqhhDfeW7T2TI,0,最爱的你,1
2018-01-26,oVdz500g0BhD1QIMYyLSr0EBxrWk,0,十年,1
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,你是我的眼,10
2018-01-26,oVdz50w6mHSnFBJ30yVTt54L_8o8,0,平凡之路-歌手第一季,6
2018-01-26,oVdz5009Yz3vhzjPG3-UlnsnzEcU,0,当你,6
2018-01-26,0,18102058,两只老虎,1
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,没那么简单,2
2018-01-26,oVdz509oO2rVB7UPqhhDfeW7T2TI,0,情缘巴士站,2
2018-01-26,oVdz5009Yz3vhzjPG3-UlnsnzEcU,0,爱转角,7
2018-01-26,oVdz50w6mHSnFBJ30yVTt54L_8o8,0,冷雨夜,6
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,你是我的眼,9
2018-01-26,oVdz5009Yz3vhzjPG3-UlnsnzEcU,0,贝加尔湖畔,1
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,离歌,8
2018-01-26,oVdz50xubFqUIwwbZbBd2rvmFDDs,0,过火,5
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,类似爱情,4
2018-01-26,oVdz509oO2rVB7UPqhhDfeW7T2TI,0,傻女,3
2018-01-26,0,18102058,多喜欢你,1
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,过火,15
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,好心分手,4
2018-01-26,oVdz506g_Z4pabOeY7xeikQhJCZc,0,没那么简单,1
2018-01-26,oVdz504szknvcP3A5KTaa3FBaXHU,0,当你,7
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,离歌,6
2018-01-26,oVdz50xAUA2ySjomwv4ukjlr4bPA,0,一个人想着一个人,1
2018-01-26,oVdz50xubFqUIwwbZbBd2rvmFDDs,0,类似爱情,1
2018-01-26,oVdz504szknvcP3A5KTaa3FBaXHU,0,当你,7
2018-01-26,oVdz50xSDD5JGCmhcnJ1Wao-Jr1A,0,逆战,9
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,类似爱情,12
2018-01-26,oVdz50wEci0Hqct5Ryz6jjgX3tu4,0,爱的就是你,17
2018-01-26,oVdz50xAUA2ySjomwv4ukjlr4bPA,0,莫斯科没有眼泪,2
2018-01-26,oVdz50xSDD5JGCmhcnJ1Wao-Jr1A,0,逆战,1
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,没那么简单,12
2018-01-26,oVdz505A29vCXfaeQd1oZai8D6fk,0,倒带,1
2018-01-26,0,18111460,爱的可能,4
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,你是我的眼,3
2018-01-26,oVdz505A29vCXfaeQd1oZai8D6fk,0,晴天,3
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,离歌,2
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,类似爱情,2
2018-01-26,oVdz505A29vCXfaeQd1oZai8D6fk,0,简单爱,2
2018-01-26,0,18048391,亲爱的那不是爱情,2
2018-01-26,oVdz5089UtFalgnJ-UtBbtY6sz3g,0,Andy,2
2018-01-26,oVdz505A29vCXfaeQd1oZai8D6fk,0,等你的季节,2
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,你是我的眼,10
2018-01-26,0,18048391,下一个天亮,2
2018-01-26,oVdz505A29vCXfaeQd1oZai8D6fk,0,我怀念的,1
2018-01-26,oVdz50xSDD5JGCmhcnJ1Wao-Jr1A,0,丑八怪,2
2018-01-26,oVdz50xSDD5JGCmhcnJ1Wao-Jr1A,0,ACCESSORIES,1
2018-01-26,0,18072832,美丽的神话,2
2018-01-26,oVdz50x1OcTHzEXf49FmwT74H6TM,0,没那么简单,1
2018-01-26,oVdz5082Q9z7-f5_A9Mkz5alqZNw,0,隐形的翅膀,3
2018-01-26,oVdz50__--hhnWrL0bqfRCLZLMOI,0,何日君再来,1
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,没那么简单,11
2018-01-26,oVdz5089UtFalgnJ-UtBbtY6sz3g,0,小苹果,5
2018-01-26,oVdz504DLSOiEeJ7BkfhSRgiOSJw,0,幼稚园,4
2018-01-26,oVdz5082Q9z7-f5_A9Mkz5alqZNw,0,童话,2
2018-01-26,oVdz50__--hhnWrL0bqfRCLZLMOI,0,我只在乎你,1
2018-01-26,oVdz504DLSOiEeJ7BkfhSRgiOSJw,0,花火,1
2018-01-26,oVdz5082Q9z7-f5_A9Mkz5alqZNw,0,有何不可,2
2018-01-26,oVdz50y0gUHWOQsryBf8M7Ye4B0I,0,倒带,10
2018-01-26,oVdz500ClE5m-hGMjpVSGg5PSJDU,0,青春修炼手册,1
2018-01-26,oVdz5089UtFalgnJ-UtBbtY6sz3g,0,一生有你,1
2018-01-26,oVdz50x1OcTHzEXf49FmwT74H6TM,0,类似爱情,5
2018-01-26,oVdz5089UtFalgnJ-UtBbtY6sz3g,0,爱上别人的人,1
2018-01-26,oVdz500ClE5m-hGMjpVSGg5PSJDU,0,过火,1
2018-01-26,oVdz50x1OcTHzEXf49FmwT74H6TM,0,舍不得,1
2018-01-26,oVdz503ZIXdzRLY-bFkSDwbiZgwk,0,北国之春,1
2018-01-26,oVdz504DLSOiEeJ7BkfhSRgiOSJw,0,森林,9
2018-01-26,oVdz50y0gUHWOQsryBf8M7Ye4B0I,0,好心分手,1
2018-01-26,oVdz500YH7DSVWfxZG8nA4A5gE2M,0,偏爱,3
2018-01-26,oVdz5082Q9z7-f5_A9Mkz5alqZNw,0,背对背拥抱,5
2018-01-26,0,16267320,你还要我怎样,12
2018-01-26,oVdz500YH7DSVWfxZG8nA4A5gE2M,0,会呼吸的痛,7
2018-01-26,oVdz5082Q9z7-f5_A9Mkz5alqZNw,0,分手快乐,2
2018-01-26,oVdz50xV9aPdH2QGTQ-Rg790v4xY,0,小情歌,2
2018-01-26,0,18048391,独家记忆,1
2018-01-26,oVdz503ZIXdzRLY-bFkSDwbiZgwk,0,大海,1
2018-01-26,oVdz5082Q9z7-f5_A9Mkz5alqZNw,0,晴天,1
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,离歌,7
2018-01-26,0,16267320,心的距离,2
2018-01-26,oVdz50x1OcTHzEXf49FmwT74H6TM,0,灰色头像,1
2018-01-26,oVdz5078uX3CcYAaLnNU5wgw0gso,0,儿歌,2
2018-01-26,0,18093943,恋人心,14
2018-01-26,oVdz5027HUGAThTtQvsqCjgt0X88,0,琉璃月,1
2018-01-26,0,18093943,大海,1
2018-01-26,oVdz500YH7DSVWfxZG8nA4A5gE2M,0,疑心病,9
2018-01-26,oVdz50wBwI5DclnCB5iolXql9q94,0,稻香,2
2018-01-26,0,16267320,离人,8
2018-01-26,oVdz5078uX3CcYAaLnNU5wgw0gso,0,小老鼠,2
2018-01-26,0,18048391,晴天,3
2018-01-26,oVdz50x1OcTHzEXf49FmwT74H6TM,0,盛夏的果实,11
2018-01-26,0,18048391,简单爱,1
2018-01-26,0,16267320,说谎,2
2018-01-26,oVdz5078uX3CcYAaLnNU5wgw0gso,0,悯农,1
2018-01-26,oVdz50xV9aPdH2QGTQ-Rg790v4xY,0,逆战,5
2018-01-26,oVdz5082Q9z7-f5_A9Mkz5alqZNw,0,童年,1
2018-01-26,0,18048391,偏爱,1
2018-01-26,oVdz5082Q9z7-f5_A9Mkz5alqZNw,0,淋雨一直走,1
2018-01-26,oVdz50y0gUHWOQsryBf8M7Ye4B0I,0,彩虹,2
2018-01-26,oVdz50xV9aPdH2QGTQ-Rg790v4xY,0,宁夏,1
2018-01-26,oVdz50x1OcTHzEXf49FmwT74H6TM,0,孤单北半球,3
2018-01-26,0,17599921,一辈子守候,5
2018-01-26,0,18072832,一事无成,1
2018-01-26,oVdz50y_xtmtFsy0jXiMCdZMqkNU,0,说谎,2
2018-01-26,oVdz5078uX3CcYAaLnNU5wgw0gso,0,爱我你就抱抱我,4
2018-01-26,oVdz50xV9aPdH2QGTQ-Rg790v4xY,0,不得不爱,1
2018-01-26,0,18093943,突然的自我,5
2018-01-26,oVdz5082Q9z7-f5_A9Mkz5alqZNw,0,青春修炼手册,1
2018-01-26,oVdz50zrmbCD2cJsYaIlWU_kYXvo,0,犯贱,2
2018-01-26,oVdz5078uX3CcYAaLnNU5wgw0gso,0,两只老虎,1
2018-01-26,oVdz5082Q9z7-f5_A9Mkz5alqZNw,0,奔跑,1
2018-01-26,0,18072832,小孩,7
2018-01-26,oVdz503v7Rb-HRbnk1PGeiJ6RNmE,0,盛夏的果实,6
2018-01-26,oVdz50_V2twcLs9R3POj8w14FguA,0,至少还有你,13
2018-01-26,0,17599921,我爱他,16
2018-01-26,oVdz50xV9aPdH2QGTQ-Rg790v4xY,0,爱,5
2018-01-26,oVdz50-ewZ53YB2ZgGjLkj6i_Hkg,0,好心分手,1
2018-01-26,oVdz50x1OcTHzEXf49FmwT74H6TM,0,日不落,9
2018-01-26,oVdz5082Q9z7-f5_A9Mkz5alqZNw,0,父亲,4
2018-01-26,oVdz50y0gUHWOQsryBf8M7Ye4B0I,0,爱丫爱丫,4
2018-01-26,oVdz5085OIBMIcJTAuJZCqF1w8Vo,0,你是我的眼,8
2018-01-26,oVdz50x1OcTHzEXf49FmwT74H6TM,0,红玫瑰,1
2018-01-26,oVdz503v7Rb-HRbnk1PGeiJ6RNmE,0,爱如潮水,2
2018-01-26,oVdz5082Q9z7-f5_A9Mkz5alqZNw,0,画沙,1
2018-01-26,0,17599921,电灯胆,2
2018-01-26,0,16267320,离人,4
2018-01-26,oVdz50-ewZ53YB2ZgGjLkj6i_Hkg,0,追光者,2
2018-01-26,oVdz5082Q9z7-f5_A9Mkz5alqZNw,0,明天过后,3
2018-01-26,oVdz50xV9aPdH2QGTQ-Rg790v4xY,0,日不落,7
2018-01-26,0,16267320,Shadow Of The Day,1
2018-01-26,oVdz503v7Rb-HRbnk1PGeiJ6RNmE,0,至少还有你,1
2018-01-26,oVdz5085OIBMIcJTAuJZCqF1w8Vo,0,小芳-我是歌手第三季,1
2018-01-26,oVdz503v7Rb-HRbnk1PGeiJ6RNmE,0,海阔天空,1
2018-01-26,oVdz50-ewZ53YB2ZgGjLkj6i_Hkg,0,当我想你的时候,1
2018-01-26,oVdz5027HUGAThTtQvsqCjgt0X88,0,快活,1
2018-01-26,oVdz503ZIXdzRLY-bFkSDwbiZgwk,0,一个人的寂寞两个人的错,1
2018-01-26,oVdz5085OIBMIcJTAuJZCqF1w8Vo,0,你说,2
2018-01-26,oVdz5085OIBMIcJTAuJZCqF1w8Vo,0,你说,2
2018-01-26,oVdz50zrmbCD2cJsYaIlWU_kYXvo,0,王妃,1
2018-01-26,oVdz50_V2twcLs9R3POj8w14FguA,0,至少还有你,15
2018-01-26,oVdz50yI5YnOdOfAp1kJ5niHOMNQ,0,只对你有感觉,7
2018-01-26,oVdz50zrmbCD2cJsYaIlWU_kYXvo,0,画心,3
2018-01-26,oVdz50_ehgPukn63FYxCvJaTQaKc,0,小白兔,1
2018-01-26,oVdz503ZIXdzRLY-bFkSDwbiZgwk,0,彩虹,2
2018-01-26,oVdz50_ehgPukn63FYxCvJaTQaKc,0,两只老虎,1
2018-01-26,oVdz503v7Rb-HRbnk1PGeiJ6RNmE,0,张士超你到底把我家钥匙放在哪里了,7
2018-01-26,oVdz503OPanWfC5_VcpzCrTefQ7Q,0,倒带,9
2018-01-26,oVdz50zrmbCD2cJsYaIlWU_kYXvo,0,离歌,1
2018-01-26,oVdz50_ehgPukn63FYxCvJaTQaKc,0,小毛驴,1
2018-01-26,oVdz5085OIBMIcJTAuJZCqF1w8Vo,0,成都,3
2018-01-26,oVdz50xV9aPdH2QGTQ-Rg790v4xY,0,今天你要嫁给我,13
2018-01-26,oVdz50zrmbCD2cJsYaIlWU_kYXvo,0,倒带,5
2018-01-26,oVdz50_V2twcLs9R3POj8w14FguA,0,至少还有你,13
2018-01-26,0,18072832,车站,2
2018-01-26,oVdz503OPanWfC5_VcpzCrTefQ7Q,0,突然的自我,5
2018-01-26,oVdz50y0gUHWOQsryBf8M7Ye4B0I,0,练习,7
2018-01-26,oVdz50yMvIOrhECWznrXE8FK-jQs,0,惩罚,1
2018-01-26,oVdz503ZIXdzRLY-bFkSDwbiZgwk,0,女人花,7
2018-01-26,oVdz50yI5YnOdOfAp1kJ5niHOMNQ,0,新不了情,11
2018-01-26,oVdz50zrmbCD2cJsYaIlWU_kYXvo,0,宁夏,2
2018-01-26,oVdz50_PhJEkj0ZFaplmQJrOtE5c,0,同桌的你,6
2018-01-26,oVdz50_ehgPukn63FYxCvJaTQaKc,0,黑猫警长,2
2018-01-26,oVdz5085OIBMIcJTAuJZCqF1w8Vo,0,有点甜,7
2018-01-26,oVdz50y_xtmtFsy0jXiMCdZMqkNU,0,小幸运,7
2018-01-26,oVdz50zrmbCD2cJsYaIlWU_kYXvo,0,稻香,2
2018-01-26,0,18072832,追,3
2018-01-26,oVdz50xV9aPdH2QGTQ-Rg790v4xY,0,情非得已,4
2018-01-26,oVdz50_V2twcLs9R3POj8w14FguA,0,至少还有你,16
2018-01-26,oVdz505YL_NF79zIXxojNr2RsXt8,0,葫芦娃,1
2018-01-26,oVdz50zrmbCD2cJsYaIlWU_kYXvo,0,晴天,1
2018-01-26,0,18072832,我的宣言,1
2018-01-26,oVdz50_PhJEkj0ZFaplmQJrOtE5c,0,勇气,5
2018-01-26,oVdz50yMvIOrhECWznrXE8FK-jQs,0,过火,3
2018-01-26,oVdz50y0gUHWOQsryBf8M7Ye4B0I,0,红豆,3
2018-01-26,oVdz5085OIBMIcJTAuJZCqF1w8Vo,0,离骚,6
2018-01-26,oVdz505YL_NF79zIXxojNr2RsXt8,0,我爱洗澡,1
2018-01-26,0,18072832,Monica-我是歌手第三季,1
2018-01-26,oVdz505YL_NF79zIXxojNr2RsXt8,0,我爱洗澡,1
2018-01-26,oVdz50xOQ-R-k9JcTrbnjWOZ4KsY,0,我的好兄弟,8
2018-01-26,oVdz50_PhJEkj0ZFaplmQJrOtE5c,0,爱我的人和我爱的人,12
2018-01-26,oVdz50y0gUHWOQsryBf8M7Ye4B0I,0,只要有你,7
2018-01-26,0,18050878,新不了情,5
2018-01-26,0,18072832,慢慢,1
2018-01-26,0,18081513,独家记忆,7
2018-01-26,oVdz504B0grTktgcBPCP03AwmO3k,0,天使,1
2018-01-26,oVdz50_PhJEkj0ZFaplmQJrOtE5c,0,爱情转移,5
